Word,Count
coffee,3
decaf,2
even,2
good,2
needs,1
western,1
water,1
want,1
terrible,1
sucks,1
stop,1
service,1
self,1
sarcasm,1
omelette,1
old,1
man,1
meat,1
control,1
makes,1
literally,1
like,1
kill,1
go,1
food,1
eggs,1
dry,1
dont,1
cut,1
works,1
